,Unnamed: 0,gvkey,deal year,Target name,pdpassgn,patents
11,11,5063,1999,General Instrument Corp,10430930.0,"[3930306, 3940666, 3942146, 3947878, 3949204, 3950709, 3956640, 3970239, 3975601, 3986046, 3987446, 3996602, 4003012, 4017266, 4017800, 4025865, 4027275, 4056795, 4084208, 4118679, 4119808, 4129888, 4160959, 4161708, 4183250, 4186612, 4191058, 4193126, 4214316, 4238436, 4243937, 4254453, 4257047, 4284867, 4293755, 4297598, 4313117, 4322612, 4325102, 4330930, 4336580, 4340923, 4341960, 4345308, 4349283, 4379305, 4394653, 4404514, 4404655, 4414547, 4419769, 4433225, 4442508, 4445043, 4450332, 4453198, 4454562, 4456978, 4459596, 4468644, 4473811, 4477799, 4477800, 4480320, 4494111, 4494218, 4496853, 4499354, 4518835, 4520326, 4520363, 4520508, 4521796, 4522149, 4533948, 4534287, 4545033, 4546387, 4550265, 4552352, 4555749, 4558464, 4562465, 4564885, 4571615, 4583012, 4590667, 4590853, 4591547, 4598318, 4599607, 4599647, 4603349, 4614946, 4617522, 4625178, 4626672, 4628358, 4633582, 4634861, 4638356, 4638551, 4642660, 4646150, 4647943, 4647949, 4653114, 4659400, 4667277, 4670743, 4672440, 4684792, 4685131, 4689619, 4694258, 4694491, 4695171, 4703331, 4710955, 4712239, 4731505, 4738473, 4739510, 4740477, 4740716, 4742377, 4744053, 4748640, 4753520, 4754227, 4763130, 4769622, 4771456, 4782470, 4783846, 4785306, 4787950, 4789886, 4792751, 4796004, 4799034, 4803725, 4814887, 4815129, 4816781, 4821097, 4823399, 4825177, 4829406, 4841569, 4859621, 4860353, 4860379, 4862268, 4864613, 4864615, 4868579, 4881125, 4888592, 4891685, 4897854, 4904610, 4914695, 4920566, 4921158, 4926477, 4928309, 4929987, 4933898, 4937811, 4942139, 4956862, 4972390, 4975951, 4979230, 4980315, 4982430, 4987476, 4989245, 4998287, 5003591, 5008735, 5010023, 5014310, 5020129, 5027399, 5032807, 5036291, 5036537, 5038402, 5038404, 5046093, 5046138, 5053786, 5053992, 5054067, 5057916, 5065372, 5068724, 5068729, 5081680, 5083293, 5088098, 5091782, 5091936, 5093720, 5097308, 5102810, 5107360, 5109441, 5109532, 5111504, 5115467, 5117195, 5119447, 5126871, 5129100, 5131014, 5134620, 5134700, 5136411, 5138440, 5138447, 5138649, 5138659, 5140200, 5140456, 5144664, 5146496, 5151846, 5151908, 5151938, 5153762, 5155591, 5159601, 5166769, 5166821, 5173596, 5173775, 5173900, 5187760, 5191586, 5200964, 5208819, 5210631, 5210633, 5212579, 5216295, 5216374, 5216503, 5220602, 5222089, 5231494, 5233348, 5233629, 5235419, 5241382, 5241563, 5243609, 5243624, 5248902, 5249294, 5257124, 5260778, 5262878, 5268910, 5271024, 5278095, 5287115, 5287409, 5291281, 5293545, 5293633, 5295203, 5295209, 5298457, 5301054, 5304429, 5307375, 5311546, 5313215, 5315388, 5321543, 5321707, 5321725, 5331449, 5342805, 5345408, 5360509, 5363408, 5371647, 5371902, 5373389, 5376968, 5386212, 5390346, 5391996, 5396518, 5398079, 5398237, 5399901, 5400166, 5404402, 5406228, 5408502, 5408525, 5416629, 5426701, 5432121, 5446916, 5450392, 5463403, 5473693, 5475498, 5475716, 5484097, 5485577, 5497112, 5497404, 5504816, 5506174, 5509076, 5511082, 5511096, 5513139, 5517250, 5519733, 5528079, 5530400, 5537420, 5539823, 5541666, 5565922, 5566089, 5571329, 5572517, 5572691, 5574495, 5579348, 5580203, 5594794, 5598415, 5606616, 5610434, 5612956, 5614759, 5617142, 5617475, 5621761, 5627892, 5638128, 5638422, 5640043, 5640212, 5644637, 5650908, 5651065, 5652616, 5659883, 5666358, 5671276, 5675387, 5677562, 5687257, 5692910, 5696765, 5698242, 5699124, 5699179, 5703877, 5703887, 5708574, 5717461, 5739868, 5742591, 5742623, 5745522, 5751378, 5754659, 5767754, 5771239, 5773874, 5781226, 5784095, 5784413, 5787211, 5796423, 5801753, 5801789, 5809538, 5815297, 5822431, 5828786, 5830781, 5835103, 5835730, 5835844, 5838296, 5844615, 5844620, 5847751, 5848200, 5861662, 5862219, 5870472, 5874992, 5880523, 5881362, 5886736, 5892910, 5894320, 5909249, 5909454, 5914869, 5917830, 5923784, 5937330, 5949795, 5950068, 5959507, 5959693, 5969835, 5974184, 5982363, 5982411, 5982445, 5987518, 5991447, 6005980, 6013876, 6014547, 6018764, 6021216, 6024604, 6026195, 6031927, 6041142, 6043838, 6051798, 6054905, 6057872, 6057874, 6057876, 6057884, 6061449, 6072831, 6072872, 6084641, 6101368, 6107877, 6107885, 6108046, 6109530, 6113397, 6115072, 6122014, 6129597, 6133939, 6137837, 6141387, 6147713, 6151362, 6160545, 6160587, 6167084, 6169584, 6170005, 6173330, 6181216, 6188870, 6194653, 6195393, 6208737, 6230391, 6232836, 6239668, 6249634, 6253223, 6256393, 6259733, 6259741, 6260193, 6271837, 6275536, 6285681, 6289129, 6289377, 6295362, 6321384, 6323793, 6324184, 6327275, 6327709, 6345307, 6354461, 6362425, 6377713, 6381332, 6385242, 6400720, 6400767, 6400863, 6401242, 6404743, 6411946, 6424713, 6425133, 6430228, 6433830, 6434195, 6434197, 6441754, 6453470, 6456775, 6459793, 6466084, 6473593, 6477253, 6483547, 6483874, 6484210, 6487721, 6493388, 6509789, 6515380, 6519817, 6525436, 6532593, 6546557, 6549403, 6553159, 6556250, 6563868, 6567132, 6570430, 6570922, 6573945, 6577177, 6580754, 6583986, 6587243, 6587825, 6588015, 6594271, 6594433, 6597789, 6611374, 6625810, 6639809, 6643327, 6643707, 6647061, 6647252, 6648679, 6650800, 6658057, 6671426, 6671882, 6687311, 6687486, 6694060, 6700797, 6704288, 6704788, 6707829, 6707917, 6711022, 6711132, 6711135, 6711684, 6717950, 6718374, 6721949, 6724825, 6728887, 6731684, 6731685, 6734898, 6735028, 6735423, 6742121, 6748020, 6748050, 6754908, 6758404, 6759897, 6765966, 6771503, 6771657, 6778035, 6782335, 6788839, 6789124, 6791622, 6791942, 6792534, 6795112, 6804301, 6804782, 6807195, 6807676, 6810525, 6813778, 6816512, 6827583, 6829014, 6832323, 6834384, 6839070, 6839841, 6842435, 6847656, 6847659, 6854657, 6859494, 6859611, 6862460, 6865199, 6880170, 6882360, 6882709, 6882971, 6883050, 6892308, 6898285, 6904094, 6904611, 6906526, 6915530, 6917675, 6918135, 6925501, 6934138, 6934148, 6934303, 6934310, 6940561, 6940820, 6940861, 6944186, 6944362, 6948183, 6948186, 6956873, 6958759, 6959089, 6961376, 6961384, 6961427, 6961956, 6963574, 6963608, 6963911, 6978022, 6978424, 6980357, 6980596, 6980597, 6985020, 6985573, 6987888, 6990203, 6993652, 6995751, 6996779, 7006446, 7016407, 7016475, 7020198, 7023294, 7024110, 7024628, 7027398, 7027453, 7027461, 7035270, 7039115, 7039317, 7039432, 7039941, 7042840, 7042879, 7043211, 7046910, 7050109, 7050505, 7058609, 7061317, 7062544, 7065191, 7068719, 7072402, 7073075, 7073192, 7076661, 7080397, 7081712, 7082135, 7084877, 7086078, 7088867, 7095824, 7109831, 7110455, 7116377, 7116771, 7119948, 7120926, 7126920, 7126954, 7130876, 7136092, 7139490, 7142660, 7150035, 7151875, 7154942]"
12,12,5063,1999,General Instrument Corp,10465331.0,[4365331]
13,13,5063,1999,General Instrument Corp,10621891.0,"[4521891, 4639921, 4797881]"
14,14,5693,1999,Honeywell Inc,,
15,15,5846,1999,Andataco Inc,,
16,16,6638,1999,Carleton Corp,,
17,17,6876,1999,M/A/R/C Group,12129174.0,"[6029174, 6157928, 6185555, 6363388]"
18,18,7049,1999,Market Facts Inc,,
19,19,7640,1999,Mylex Corp,11975457.0,"[4553035, 5677890, 5784548, 5875457, 5913927, 5951648, 6085332, 6094699, 6098119, 6119200]"
20,20,8163,1999,Optical Coating Laboratory Inc,10081562.0,"[3938347, 3971869, 3972590, 3981562, 3981568, 3990784, 3991707, 4015558, 4027093, 4055442, 4070097, 4081667, 4112483, 4147409, 4173778, 4180414, 4192995, 4195234, 4221150, 4222345, 4225908, 4227940, 4229066, 4268711, 4276855, 4278736, 4293732, 4309075, 4333983, 4351681, 4354739, 4358472, 4361114, 4369876, 4373782, 4412255, 4422721, 4427264, 4434010, 4443873, 4463047, 4536998, 4538913, 4565719, 4578527, 4581282, 4659933, 4663557, 4668860, 4702963, 4705300, 4705356, 4721217, 4735488, 4777908, 4779898, 4783373, 4838648, 4840281, 4846551, 4851095, 4863246, 4868003, 4882198, 4951604, 4969716, 5112644, 5124013, 5154810, 5155627, 5160668, 5200855, 5218473, 5225057, 5449413, 5450277, 5470239, 5515169, 5618388, 5670030, 5724175, 5728456, 5789040, 5790304, 5797570, 5798027, 5798182, 5803424, 5808714, 5811923, 5824374, 5852513, 5858519, 5872655, 5879519, 5909315, 5914817, 5915285, 5930046, 5944964, 5959762, 5961852, 5986815, 5989693, 5995271, 6008920, 6057925, 6067188, 6084705, 6144498, 6156394, 6204953, 6210540, 6215924, 6242114, 6261641, 6275624, 6303885, 6320996, 6340230, 6353497, 6382841, 6388359, 6389188, 6398364, 6433924, 6477289, 6490381, 6542306, 6587288, 6630999, 6636658, 6707609, 6730373, 6771001, 6777085, 6785002, 6785038, 6792210, 6795243, 6801681, 6859323, 6885824]"
