,Unnamed: 0,Unnamed: 0.1,gvkey,deal year,Target name,pdpassgn,patents
93,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5667839
94,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5693341
95,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5744545
96,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5752974
97,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5800541
98,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5807581
99,2,2,3172,1999,Collagen Aesthetics Inc,10449026,5823671
100,3,3,3736,1999,Daniel Industries Inc,10234288,4091840
101,3,3,3736,1999,Daniel Industries Inc,10234288,4134288
102,3,3,3736,1999,Daniel Industries Inc,10234288,4234157
103,3,3,3736,1999,Daniel Industries Inc,10234288,6164622
104,4,4,3736,1999,Daniel Industries Inc,11309258,5209258
105,4,4,3736,1999,Daniel Industries Inc,11309258,5260883
106,5,5,3736,1999,Daniel Industries Inc,10770733,4670733
107,5,5,3736,1999,Daniel Industries Inc,10770733,4732043
108,5,5,3736,1999,Daniel Industries Inc,10770733,4929890
109,6,6,3736,1999,Daniel Industries Inc,10686534,3943846
110,6,6,3736,1999,Daniel Industries Inc,10686534,3948099
111,6,6,3736,1999,Daniel Industries Inc,10686534,3994624
112,6,6,3736,1999,Daniel Industries Inc,10686534,4191216
113,6,6,3736,1999,Daniel Industries Inc,10686534,4286625
114,6,6,3736,1999,Daniel Industries Inc,10686534,4320777
115,6,6,3736,1999,Daniel Industries Inc,10686534,4331315
116,6,6,3736,1999,Daniel Industries Inc,10686534,4340088
117,6,6,3736,1999,Daniel Industries Inc,10686534,4364544
118,6,6,3736,1999,Daniel Industries Inc,10686534,4385746
119,6,6,3736,1999,Daniel Industries Inc,10686534,4390171
120,6,6,3736,1999,Daniel Industries Inc,10686534,4394023
121,6,6,3736,1999,Daniel Industries Inc,10686534,4410038
122,6,6,3736,1999,Daniel Industries Inc,10686534,4436280
123,6,6,3736,1999,Daniel Industries Inc,10686534,4444224
124,6,6,3736,1999,Daniel Industries Inc,10686534,4470319
125,6,6,3736,1999,Daniel Industries Inc,10686534,4478251
126,6,6,3736,1999,Daniel Industries Inc,10686534,4480686
127,6,6,3736,1999,Daniel Industries Inc,10686534,4512359
128,6,6,3736,1999,Daniel Industries Inc,10686534,4586534
129,6,6,3736,1999,Daniel Industries Inc,10686534,4606218
130,6,6,3736,1999,Daniel Industries Inc,10686534,4665946
131,6,6,3736,1999,Daniel Industries Inc,10686534,4715234
132,6,6,3736,1999,Daniel Industries Inc,10686534,5005805
133,6,6,3736,1999,Daniel Industries Inc,10686534,5069252
134,6,6,3736,1999,Daniel Industries Inc,10686534,5085250
135,6,6,3736,1999,Daniel Industries Inc,10686534,5163655
136,6,6,3736,1999,Daniel Industries Inc,10686534,5181542
137,6,6,3736,1999,Daniel Industries Inc,10686534,5318073
138,6,6,3736,1999,Daniel Industries Inc,10686534,5323651
139,6,6,3736,1999,Daniel Industries Inc,10686534,5324232
140,6,6,3736,1999,Daniel Industries Inc,10686534,5325729
141,6,6,3736,1999,Daniel Industries Inc,10686534,5326323
142,6,6,3736,1999,Daniel Industries Inc,10686534,5509305
143,6,6,3736,1999,Daniel Industries Inc,10686534,5524863
144,6,6,3736,1999,Daniel Industries Inc,10686534,5546990
145,6,6,3736,1999,Daniel Industries Inc,10686534,5594288
146,6,6,3736,1999,Daniel Industries Inc,10686534,5741960
147,6,6,3736,1999,Daniel Industries Inc,10686534,5967166
148,6,6,3736,1999,Daniel Industries Inc,10686534,5983730
149,6,6,3736,1999,Daniel Industries Inc,10686534,6151958
150,6,6,3736,1999,Daniel Industries Inc,10686534,6209388
